area,district,latitude,longitude,money,orientation,plot,street,subway,time,typ
42㎡,门头沟,39.94126,116.109517,2600,朝南,大峪小白楼,大峪,,2019-03-03,1室0厅1卫
63㎡,门头沟,39.936118,116.11813,3000,朝南 北,月季园东里,滨河西区,,2019-03-01,2室1厅1卫
82㎡,门头沟,39.939735,116.122491,4000,朝东 西,临镜苑,滨河西区,,2019-03-14,2室1厅1卫
61㎡,门头沟,39.941235,116.115431,2800,朝东,双峪路小区,滨河西区,,2019-03-03,2室1厅1卫
65㎡,门头沟,39.91954,116.129801,2400,朝南 北,整租,滨河西区,距离s1线-上岸849m,2019-03-06,2室1厅1卫
38㎡,顺义,40.12408,116.563472,3700,朝东,东亚创展国际,后沙峪,距离15号线-后沙峪1162m,2019-02-26,1房间1卫
58㎡,顺义,40.116534,116.669988,3500,朝南 北,整租,顺义城,,2019-03-16,1室1厅1卫
38㎡,顺义,40.12408,116.563472,3300,朝东,整租,后沙峪,距离15号线-后沙峪1162m,2019-03-22,1房间1卫
36㎡,顺义,40.094933,116.560389,3600,朝西,整租,后沙峪,距离15号线-花梨坎571m,2019-03-22,1室0厅1卫
58㎡,顺义,40.12408,116.563472,4000,朝东,整租,后沙峪,距离15号线-后沙峪1162m,2019-01-11,2房间1卫
63㎡,石景山,39.90865,116.228643,8000,朝西,整租,鲁谷,,2018-12-02,2房间2卫
42㎡,顺义,40.186753,116.665923,2400,朝南,香悦四季,马坡,,2019-01-09,1房间1卫
139㎡,顺义,40.066974,116.571828,8000,朝南 北,天竺花园,天竺,,2019-03-14,2室2厅2卫
67㎡,大兴,39.762158,116.333958,4200,朝南 北,整租,枣园,距离4号线大兴线-枣园401m距离4号线大兴线-高米店南941m,2019-03-09,1室1厅1卫
73㎡,西城,39.898284,116.348379,7500,朝东,整租,广安门,距离7号线-达官营563m,2018-12-12,2室1厅1卫
35㎡,西城,39.900529,116.343245,5200,朝东南,整租,广安门,距离7号线-达官营681m距离7号线-湾子1103m,2018-12-15,1室1厅2卫
92㎡,大兴,39.827384,116.523423,6000,朝南 北,整租,亦庄,,2019-03-20,3室1厅1卫
70㎡,西城,39.932646,116.348041,9000,朝东北,整租,阜成门,距离6号线-车公庄西553m,2018-12-13,3室1厅1卫
57㎡,海淀,39.977595,116.356955,7700,朝南 北,整租,知春路,"距离10号线-西土城513m距离13号线-大钟寺1017m距离10号线,13号线-知春路1063m",2019-03-20,2室1厅1卫
40㎡,海淀,39.961386,116.33949,6500,朝南,整租,白石桥,距离4号线大兴线-魏公村991m,2019-03-19,1室1厅1卫
73㎡,海淀,39.913383,116.273143,7500,朝西南,整租,五棵松,距离1号线-五棵松578m距离1号线-玉泉路1038m,2019-03-18,3室1厅1卫
43㎡,海淀,39.97775,116.381497,6100,朝东,整租,马甸,距离10号线-牡丹园690m距离10号线-健德门882m,2019-03-17,1室1厅1卫
53㎡,海淀,39.951777,116.308081,8000,朝南 北,整租,紫竹桥,距离10号线-车道沟465m,2019-03-13,2室1厅1卫
57㎡,海淀,39.954249,116.367614,7600,朝南,整租,新街口,"距离2号线,4号线大兴线,13号线-西直门1137m",2019-03-14,2室1厅1卫
43㎡,海淀,39.934691,116.338384,7600,朝东,整租,甘家口,"距离6号线,9号线-白石桥南223m距离9号线-白堆子786m距离6号线-车公庄西962m距离4号线大兴线-动物园1195m",2019-03-15,1室1厅1卫
37㎡,海淀,39.938828,116.318035,5800,朝南,整租,紫竹桥,"距离6号线-花园桥52m距离6号线,9号线-白石桥南1065m",2019-03-17,1室1厅1卫
58㎡,海淀,39.971446,116.338177,7500,朝南 北,双榆树南里二区,皂君庙,距离4号线大兴线-人民大学612m,2019-03-15,2室1厅1卫
43㎡,海淀,39.918055,116.304415,6300,朝南,整租,公主坟,距离1号线-万寿路784m,2019-03-16,1室1厅1卫
57㎡,海淀,39.918055,116.304415,6500,朝南 北,整租,公主坟,距离1号线-万寿路784m,2019-03-14,2室1厅1卫
56㎡,海淀,39.971443,116.318374,7000,朝南 北,整租,苏州桥,距离4号线大兴线-人民大学733m距离10号线-苏州街1014m,2019-03-16,2室1厅1卫
60㎡,海淀,39.937443,116.33042,7300,朝南 北,整租,甘家口,"距离6号线,9号线-白石桥南18m距离9号线-白堆子1004m距离6号线-花园桥1066m",2019-03-11,2室1厅1卫
49㎡,海淀,39.92028,116.304768,5200,朝南,翠微中里,公主坟,距离1号线-万寿路752m距离10号线-西钓鱼台955m,2019-03-11,1室1厅1卫
56㎡,海淀,39.986568,116.377046,7500,朝南 北,整租,牡丹园,距离10号线-牡丹园432m距离10号线-健德门1174m,2019-03-12,2室1厅1卫
50㎡,海淀,39.921625,116.311878,6800,朝东南,整租,公主坟,"距离1号线,10号线-公主坟1159m",2019-03-10,1室1厅1卫
51㎡,海淀,39.996907,116.343714,8000,朝西,华清嘉园,五道口,距离13号线-五道口87m距离15号线-清华东路西口1001m,2019-03-09,1室0厅1卫
45㎡,海淀,39.987291,116.380053,5500,朝南,整租,牡丹园,距离10号线-健德门646m距离10号线-牡丹园715m,2019-03-10,1室1厅1卫
66㎡,海淀,39.982896,116.365562,7500,朝南,塔院小区北医三院牡丹园西土城2居室,牡丹园,距离10号线-西土城281m距离10号线-牡丹园562m,2019-03-14,2室1厅1卫
48㎡,海淀,39.958092,116.370947,6200,朝北,整租,新街口,距离2号线-积水潭1103m,2019-03-12,1室1厅1卫
71㎡,海淀,39.974734,116.333303,12200,朝西 北,双榆树西里精装三居室洁净拎包入住,双榆树,"距离4号线大兴线-人民大学450m距离10号线-知春里703m距离4号线大兴线,10号线-海淀黄庄1067m距离13号线-大钟寺1152m",2019-03-07,3室1厅1卫
42㎡,海淀,39.972844,116.310632,6500,朝南 北,整租,苏州桥,距离10号线-苏州街1082m,2019-03-09,1室1厅1卫
95㎡,海淀,39.983696,116.382606,6000,朝南 北,牡丹园东里,牡丹园,距离10号线-健德门293m距离10号线-牡丹园371m,2019-03-07,3室1厅1卫
67㎡,海淀,39.92129,116.303762,7500,朝南,整租,公主坟,距离10号线-西钓鱼台1072m距离1号线-万寿路1108m,2019-03-05,1室1厅1卫
56㎡,海淀,39.987093,116.364694,7600,朝东南,整租,牡丹园,距离10号线-西土城442m距离10号线-牡丹园902m,2019-03-10,2室1厅1卫
50㎡,海淀,39.988335,116.32811,7800,朝南,整租,中关村,"距离4号线大兴线-中关村54m距离4号线大兴线,10号线-海淀黄庄566m距离4号线大兴线-北京大学东门845m距离10号线-知春里946m",2019-03-10,2室1厅1卫
60㎡,海淀,39.971482,116.363711,7500,朝南,北京邮电大学北门精装修两居室诚心出租,小西天,距离10号线-西土城1192m,2019-03-03,2室1厅1卫
53㎡,西城,39.912912,116.34688,7800,朝东 西,精装修,木樨地,"距离1号线-木樨地67m距离1号线-南礼士路128m距离1号线,2号线-复兴门726m距离1号线,9号线-军事博物馆1094m",2019-03-14,2室1厅1卫
63㎡,海淀,39.989841,116.311169,7800,朝南 北,整租,苏州桥,距离10号线-苏州街1040m距离4号线大兴线-中关村1075m,2019-03-02,2室1厅1卫
48㎡,西城,39.888411,116.386269,5000,朝南,四平园,陶然亭,"距离4号线大兴线-陶然亭715m距离4号线大兴线,7号线-菜市口933m距离7号线-虎坊桥984m",2019-03-18,1室1厅1卫
56㎡,西城,39.890295,116.379924,6100,朝南 北,整租,牛街,"距离4号线大兴线,7号线-菜市口595m距离4号线大兴线-陶然亭774m",2019-03-15,3室0厅1卫
70㎡,西城,39.891739,116.344985,4800,朝西,远见名苑开间,广安门,距离7号线-达官营241m距离7号线-湾子743m,2019-03-15,1室0厅1卫
61㎡,西城,39.898284,116.348379,6700,朝东南,西豪逸景,广安门,距离7号线-达官营563m,2019-03-18,1室1厅1卫
56㎡,海淀,39.934263,116.324868,7500,朝南,整租,甘家口,"距离6号线-花园桥1113m距离6号线,9号线-白石桥南1151m",2019-03-02,2室1厅1卫
43㎡,西城,39.978141,116.399018,6000,朝南,裕中东里,马甸,"距离8号线-安华桥242m距离8号线,10号线-北土城548m距离10号线-健德门1034m",2019-03-18,1室1厅1卫
63㎡,西城,39.909516,116.375371,9000,朝西北,整租,金融街,"距离1号线,4号线大兴线-西单348m距离2号线,4号线大兴线-宣武门470m距离2号线-长椿街519m距离1号线,2号线-复兴门799m",2019-03-12,2室1厅1卫
60㎡,西城,39.921131,116.347957,8500,朝东 西,三里河一区,月坛,距离1号线-木樨地957m,2019-03-10,2室1厅1卫
66㎡,西城,39.886874,116.389264,6200,朝南 北,畅柳园,陶然亭,距离7号线-虎坊桥891m距离4号线大兴线-陶然亭1114m,2019-03-13,2室1厅1卫
55㎡,西城,39.927822,116.364332,7800,朝西 西北,整租,金融街,距离2号线-阜成门22m,2019-03-12,2室1厅1卫
51㎡,西城,39.886024,116.387228,8000,朝南,黑窑厂西里,陶然亭,距离4号线大兴线-陶然亭624m距离7号线-虎坊桥1168m,2019-03-13,2室1厅1卫
114㎡,西城,39.900454,116.385168,15000,朝东 西,宣武门,宣武门,"距离4号线大兴线,7号线-菜市口643m距离7号线-虎坊桥677m距离2号线,4号线大兴线-宣武门699m距离2号线-和平门879m",2019-03-13,3室2厅1卫
